*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mobileBBshield_for_Mozzi_v2_long
*Date=17:12:57
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;330;0603 [SMD];12.9558;-46.0763;90;Top;R3
103;;;75.184;-25.5618;0;Bottom;Copper Fill8
104;;;17.6651;-26.404;0;Bottom;TXT1
105;;;74.9046;-38.6682;0;Bottom;Copper Fill4
106;;;40.6273;-2.016;0;Bottom;Copper Fill28
107;;;26.4033;-50.276;0;Bottom;Copper Fill72
108;;;9.78087;-19.7249;0;Bottom;TXT1
109;;;68.1774;-15.174;0;Bottom;Via6
110;;audio-jack-3.5mm;7.49892;-5.37279;180;Bottom;in
111;;;85.3186;-32.2293;0;Bottom;Copper Fill35
112;;;68.1303;-32.2132;0;Bottom;Via8
113;100nF;0603 [SMD, multilayer];11.3096;-49.1451;0;Top;C4
114;;;51.2997;-26.9153;0;Bottom;パーツ1
115;680;0603 [SMD];3.18627;-51.6267;180;Top;R2
116;;;11.5062;-3.1209;0;Bottom;Copper Fill74
117;;;19.177;-40.0652;0;Bottom;Copper Fill2
118;;;78.8416;-16.9385;0;Bottom;Copper Fill46
119;;;101.38;-21.1037;-90;Bottom;IMG4
120;;[THT];87.7849;-36.5368;0;Bottom;D2
121;;;26.4033;-51.9016;0;Bottom;Copper Fill29
122;;;65.6917;-26.9213;-90;Bottom;TXT1
123;;;68.707;-25.765;0;Bottom;Copper Fill7
124;;;20.7137;-5.0386;0;Bottom;Copper Fill63
125;;;78.3844;-2.5113;0;Bottom;Copper Fill81
126;;;22.606;-36.2933;0;Bottom;Copper Fill61
127;;;26.4033;-50.276;0;Bottom;Copper Fill30
128;;;79.8662;-2.55621;-90;Bottom;TXT1
129;;;75.438;-2.5113;0;Bottom;Copper Fill80
130;;;78.8416;-42.5417;0;Bottom;Copper Fill48
131;;;17.5891;-28.1915;0;Bottom;Via4
132;;;24.511;-33.0421;0;Bottom;Copper Fill59
133;;THT;77.8949;-45.0028;180;Bottom;A1
134;;;71.8058;-42.91;0;Bottom;Copper Fill1
135;;;84.9376;-41.1193;0;Bottom;Copper Fill32
136;;;9.21645;-25.8398;0;Bottom;Via3
137;;;22.0726;-22.9202;0;Bottom;Copper Fill51
138;;;85.3186;-23.4917;0;Bottom;Copper Fill77
139;47nF;0603 [SMD, multilayer];20.7579;-6.29788;90;Top;C5
140;;THT;77.8932;-36.5043;180;Bottom;A2
141;;;20.4353;-26.8852;-90;Bottom;IMG1
142;;;21.5773;-35.2392;0;Bottom;Copper Fill17
143;;;78.8416;-34.0581;0;Bottom;Copper Fill44
144;;;15.5321;-47.3296;0;Bottom;Copper Fill65
145;;pcb_mount_speaker;8.65405;-34.8083;-90;Top;SP1
146;;;85.09;-14.7033;0;Bottom;Copper Fill33
147;;;20.6;-20.6287;180;Bottom;HT82V739
148;;;78.867;-8.3533;0;Bottom;Copper Fill42
149;;;39.5478;-23.0726;0;Bottom;Copper Fill53
